nl	en	de	fr	es	cs	hu	pl	sk	it
Annuleer	Cancel	Annulieren	Annuler	Cancelar	Zrušit	Törlés	Anuluj	Zruš	Annulla
Annuleren	Cancel	Annulieren	Annuler	Cancelar	Zrušení	Törlés	Anuluj	Zruš	Annullare
Archief	Filing	Archiv	Archives	Presentación	Archiv	Archívum	Archiwum	Archív	Archivio
Archief orders	Filed jobs	Archiv-Aufträge	Archive job	Pedido presentados	Archiv objednávek	Archivált megrendelések	Zlecenia archiwalne	Archivované objednávky	Archivio ordini
Artikel	Article	Artikel	Article	Artículo	Produkt	Árucikk	Artykuł	Položka	Articolo
Artikel:	Article:	Artikel:	Article:	Artículo:	Článek:	Cikk:	Artykuł:	Článok:	Articolo:
Artikelen	Articles	Artikel	Articles	Artículos	Produkty	Árucikkek	Artykuły	Položky	Articoli
Artikelnr.:	Article nr.:	Artikelnr.:	N° article:	Ref .:	Položka č .:	Cikksz.:	Artykuł nr .:	Položka č.:	Nr. articolo:
Basiskleuren	Basecolors	Basis Farben	Couleurs de base	Basecolors	Základní barvy	Alapszínek	Kolory podstawowe	Základné farby	Colori supplementari
Bedrag:	Amount:	Betrag:	Montant:	Cantidad:	Množství:	Összeg:	Kwota:	Suma:	Importo:
Bedrijfsgegevens	Companyfiles	Betriebsdaten	Données de la société	Companyfiles	Firemní údaje	Vállalati adatok	Dane firmy	Firemné údaje	Dati dell'azienda
Bedrijfsgegevens:	Companyfiles:	Betriebsdaten:	Données de la société:	Companyfiles:	Firemní údaje:	Vállalati adatok:	Dane firmy:	Firemné údaje:	Dati dell'azienda:
Bedrukking:	Print:	Druck:	Impression:	Impresión:	Tisk:	Nyomtatás:	Wydrukować:	tlač:	Stampare:
Beeld	Picture	Bild	Image	Imagen	Obrázek	Kép	Obraz	Obrázok	Immagine
Beeldbank	Image store	Datenbank	Banque d'images	almacén de imágenes	store Image	Képtár	Bank obrazów	Databáza obrázkov	Banca immagini
Begeleider	Supervisor	Begleiter	Resp. int.	Supervisor	Dozorce	Felügyelő	Opiekun	Sprievodca	Guida
Begeleider:	Supervisor:	Begleiter:	Resp. int.:	Supervisor:	Dozorce:	Felügyelő:	Opiekun:	Sprievodca:	Guida:
Begin	Start	Anfang	Début	comienzo	Start	Kezdés	Początek	štart	Inizio
Behoud kleuren	Remain colors	Farben beibehalten	Maintient couleurs	El color permanece	zůstávají barvy	Maradj színek	pozostają kolory	zostávajú farby	Rimangono colori
Behoud steunkleur	Keep spotcolor	Behalt HKS-Farben	Garde couleur support	Mantenga spotcolor	Udržujte spotcolor	tartsuk spotcolor	Zachowaj kolor pomocniczy	Udržujte spotcolor	Mantieni il colore supplementare
Bericht	Message	Bericht	Message	Mensaje	Zpráva	Üzenet	Wiadomość	Správa	Messaggio
Bericht:	Message:	Bericht, Notiz:	Message:	Mensaje:	Zpráva:	Üzenet:	Wiadomość:	Správa:	Messaggio:
Bestand te groot. Maximaal	Filesize to big. Maximum	Dateigröße überschritten. Maximal	Taille du fichier trop grande. Maximum	Tamaño del archivo de grande. Máximo	Velikost souboru příliš velká. Maximum	Fájlméret nagy. Maximális	Rozmiar pliku do dużych. Maksymalny	Veľkosť súboru príliš veľká. maximum	FILESIZE alla grande. Massimo
Bestand(en):	File(s):	Datei(en):	Fichier(s):	Archivos (s):	Soubor(y):	Dokumentum(ok):	Plik(i):	Súbor(y):	Documento/i:
Bestand:	File:	Datei:	Fichier:	Archivo:	Soubor:	fájl:	Plik:	súbor:	File:
Bestanden:	Files:	Daten:	Fichiers	archivos:	Soubory:	Dokumentumok:	Pliki:	Súbory:	Documenti:
Bestel	Order	Bestel	Commande	Orden	Objednat	Megrendelés	Zamów	Objednaj	Prenota
Bestel historie	Order history	Historische Bestellung	Historique de commande	Historial de pedidos	Historie objednávek	Eddigi megrendelések	Historia zamówień	História objednávok	Storia prenotazioni
Bestel:	Order:	Bestellung	Commande:	Orden:	Objednat:	Megrendelés:	Zamów:	Objednaj:	Prenota:
Bestellen	Ordering	Bestellen	Commander	Ordenando	Objednávka	Megrendelés	Kolejność	Radenie	Prenotare
bestellen!	to order!	Bestellen!	commander	¡ordenar!	objednat!	rendelni!	zamówić!	objednať!	per ordinare!
Bestelling bij	Ordering from	Bestellung vom	Commande de	Hacer un pedido desde	objednání z	rendelés	Kolejność od	objednanie z	Ordinare da
Besteloverzicht	Ordering details	Bestelldetails	Aperçu de la commande	Código de pedido	podrobnosti pro objednávku	rendelési adatok	dane do zamówienia	podrobnosti pre objednávku	dati per l'ordine
Bestelreferentie	Ordering reference	Bestellcode	Référence de la commande	referencia de pedido	odkaz pro objednání	rendelési hivatkozás	odniesienie do zamówienia	odkaz pre objednanie	di riferimento di ordinazione
Betaalwijze	Pay mode	Bezahlung	Mode de paiement	el modo de pago	Zp?sob platby	Fizetési mód	Sposób zap?aty	Spôsob platenia	Metodo di pagamento
Betaling	Payment	Bezahlung	Paiement	Pago	Platba	Fizetés	Zap?ata	Platba	Pagamento
Betreft offertenummer	Concerns quotationnumber	Ist Angebotsnummer	Concernant n° d'offre	Las preocupaciones quotationnumber	Doty?né ?íslo nabídky	Árajánlat száma	Dotyczy nr oferty	Predmet ?íslo ponuky	Numero dell'offerta
Betreft ordernummer	Concerns jobnumber	Ist Auftragsnummer	Concernant n° de job	Las preocupaciones númerodeimpresión	obavy jobnumber	aggodalmak jobnumber	obawy jobnumber	obavy jobnumber	preoccupazioni jobnumber
Bezoek adres:	Visite address:	Besuchsadresse	Adresse de visite	visite la dirección:	Návšt?vní adresa:	Látogatási cím:	Adres dla interesantów:	Návštevná adresa:	Indirizzo per le visite:
Bij	Plus	plus	Plus	Más	U	 	Przy	Pri	Presso
Binnenwerk	Body	Inhalt	Interieur	Cuerpo	Interiér	Bels? munkálatok	Wn?trze	Telo	Interno
Brief	Letter	Brief	Lettre	Carta	Dopis	Levél	List	písmeno	Lettera
BTW	VAT	MwSt	TVA	TINA	DPH	Áfa	VAT	DPH	IVA
BTW:	VAT:	MwSt.:	TVA:	TINA:	DPH:	Áfa:	VAT:	DPH:	IVA:
Calculator	Estimator	Kalkulator	Calculateur	Estimador	Kalkula?ka	Kalkulátor	Kalkulator	Kalkula?ka	Calcolatore
Calculator:	Estimator:	Kalkulator:	Calculateur:	Estimador:	Kalkula?ka:	Kalkulátor:	Kalkulator:	Kalkula?ka:	Calcolatore:
Checked	Checked	Controliert	Vérifié	Comprobado	Zkontrolováno	Ellen?rzött	Sprawdzone	Skontrolované	A quadri
Checklist:	Checklist:	Checkliste:	Checklist:	Lista de comprobación:	Kontrolní seznam:	Ellen?rz?lista:	Lista kontrolna:	Kontrolný zoznam:	Lista di controllo:
Code	Code	Code	Code	Código	Kód	Kód	Kod	Kód	Codice
Code:	Code:	Code:	Code:	Código:	Kód:	Kód:	Kod:	Kód:	Codice:
Contactpersoon	Contactperson	Kontaktperson	Personne de contact	Persona de contacto	Kontaktní osoba	Kapcsolattartó	Osoba kontaktowa	Kontaktná osoba	Referente
Contactpersoon:	Contactperson:	Kontaktperson:	Pers. de contact:	Persona de contacto:	Kontaktní osoba:	Kapcsolattartó:	Osoba kontaktowa:	Kontaktná osoba:	Referente:
Controle digitaal document	Check digital document	Check digitale Daten	Contrôle de documents	Compruebe documento digital	Zkontrolujte digitálního dokumentu	Ellenőrizze digitális dokumentum	Sprawdź dokument cyfrowy	Skontrolujte digitálneho dokumentu	Controllare documento digitale
Controlegetal:	Controlnumber:	Kontrollzahl:	N° de controle	Número de control:	Controlnumber:	Ellenőrző szám:	Liczba kontrolna:	Controlnumber:	Numero di controllo:
Creditcard	Creditcard	Kreditkarte	Carte de credit	Tarjeta de crédito	Kreditní karta	Kreditkártya	Karta kredytowa	Kreditná karta	Carta di credito
Cyaan	Cyan	Cyan	Cyan	cian	Azurová	Cián	Cyjan	Kyán	Ciano
Datum	Date	Datum	Date	Fecha	Datum	Dátum	Data	Dátum	Data
Datum:	Date:	Datum:	Date:	Fecha:	Datum:	Találka:	Data:	Dátum:	Data:
De gegevens zijn in gebruik. Probeer het later nog eens.	Your files are in use. Please try again later.	Ihre Daten werden bearbeitet. Bitte versuchen Sie es später erneut.	Vos coördonnées sont déjà utilisées. Veuillez réessayer plus tard.	Sus archivos están en uso. Por favor, inténtelo de nuevo más tarde.	Vaše soubory jsou používány. Prosím zkuste to znovu později.	A fájlok használatban vannak. Kérlek, próbáld újra később.	Twoje pliki są w użyciu. Spróbuj ponownie później.	Vaše súbory sú používané. Skúste neskôr prosím.	I file sono in uso. Per favore riprova più tardi.
Details	Details	Details	Détails	detalles	Detaily	Adatok	Detale	Podrobnosti	Dettagli
Deze gebruikersnaam bestaat reeds. Kies een andere gebruikersnaam.	This username allready exists. Please choose another one.	Dieser Benutzername existiert bereits. Bitte wählen Sie einen anderen.	Cet identifiant existe déjà. Veuillez choisir un autre.	Este nombre de usuario ya fuiste existe. Por favor elije otro.	Toto uživatelské jméno už také existuje. Prosím, vyberte jiný.	Ez a felhasználónév már vannak létezik. Kérjük, válasszon egy másikat.	Ta nazwa użytkownika już istnieje. Proszę wybrać inny.	Toto užívateľské meno už tiež existuje. Prosím, vyberte iný.	Questo nome utente esiste giá. Si prega di sceglierne un altro.
Deze layout heeft geen variabele data!!!	This layout has no variable data!!!	Dieses Layout hat keine variablen Daten!	Cette disposition n'a aucune donnée variable!!!	Esta disposición no tiene datos variables !!!	Toto uspořádání nemá žádné proměnných dat !!!	Ez az elrendezés nem tartalmaz változó adatot!!!	Ten szablon nie ma danych zmiennych!!!	Toto usporiadanie nemá premenné dáta!!!	La presente impaginazione non dispone di dati variabili!!!
Dit artikel heeft geen plaatje.	This article has no picture.	Dieses Produkt hat keine Abbildung.	Cette article n'a pas d'image.	Este artículo no tiene imagen.	Tento artikl nemá obrázek.	Ehhez az árucikkhez nincs kép.	Nie ma ilustracji do tego artyku?u.	Tento ?lánok neobsahuje obrázok.	Il presente articolo non dispone di illustrazioni.
Downloaden	Download	Herunterladen	Télécharger	Descargar	Stáhnout	Letöltés	Pobierz	Stiahnu?	Scaricare
Dubbelzijdig	Double sided	Zweiseitig	Double face	Doble cara	Oboustranný	Kétoldalú	Dwustronna	Obojstranný	Doppia faccia
Een ogenblik geduld aub...	One moment please...	Einen Moment bitte...	Un instant s'il vous plaît...	Un momento por favor...	?ekejte prosím...	Szíves türelmét kérjük...	Prosz? czeka?...	Ešte chvíľu...	Vi preghiamo gentilmente di rimanere in attesa...
Eenheid	Unit	Einheit	Unité	Unidad	Jednotka	Egység	Jednostka	Jednotka	Unità
Email	Email	E-mail	Email	Email	E-mail	E-mail	E-mail	E-mail	E-mail
Email dit voorbeeld naar:	Email this example to:	Email Beispiel zu:	Example d'email à:	Envía este ejemplo para:	E-mail tomto příkladu:	A példa elküldése a következ? címre:	Wy?lij mailem ten przyk?ad do:	Odosla? tento príklad e-mailom na adresu:	Invia un'e-mail con il presente esempio a:
Email:	Email:	E-mail:	Email:	Email:	E-mail:	E-mail:	E-mail:	E-mail:	E-mail:
Enkelzijdig	Single sided	Einseitig	Simple face	De un solo lado	jednostranný	egyoldalas	jednostronna	jednostranný	un solo lato
Er is helaas geen prijs gevonden voor uw keuze.	There is no price found for your choice.	Keine Preise gefunden.	Pas de prix pour votre choix	No hay un precio encontrado para su elección.	Je zde našli volby žádná cena.	Sajnos nem találtunk árat a kiválasztott árucikkhez.	Niestety nie znaleziono ceny do tego wyboru.	Pre váš výber neexistuje bohužia? žiadna cena.	Purtroppo non è stato trovato nessun prezzo relativo alla vostra scelta.
Er is nog geen impositie gemaakt!	There is no imposition ready yet.	Gibt es noch keine Imposition bereit.	Il y n'est aucune imposition encore prêt.	No hay imposición listo todavía.	Dosud neexistuje uložení připraven.	Nincs kivetése kész.	Nie ma nałożenie jeszcze gotowy.	Doteraz neexistuje uloženie pripravený.	Non vi è alcuna imposizione ancora pronto.
Er mogen geen spaties voorkomen in uw e-mailadres.	There can't be any spaces in your e-mail address	Da mochte keine Strecke im E-mailadresse sein.	Il y a des espaces dans votre adresse email	No puede haber ningún espacio en su dirección de e-mail	V e-mailové adrese se nesmí vyskytovat mezera.	Az e-mail címben nem lehet szóköz.	W adresie mailowym nie mo?e by? spacji.	V emailovej adrese sa nemôžu vyskytova? medzery.	L'indirizzo e-mail non può contenere spazi.
Er staan nog	There are still	Da stehen noch	Il y a	Todavía hay	Stále existují	Vannak még	Jest jeszcze	Nachádza sa tu ešte	Ci sono ancora
Er staat nog	There is still	Da steht noch	Il y a	Todavía hay	Tam je ještě	Van még	Jest jeszcze	Nachádza sa tu ešte	C'è ancora
Er zijn geen regels geselecteerd!	There are no lines selected!	Es sind keine Zeilen ausgewählt!	Il n'y a rien selectionné !	No hay líneas seleccionadas!	Nejsou vybrané žádné čáry!	Nincsenek vonalak kiválasztott!	Brak wybrane linie!	Nie sú vybrané žiadne čiary!	Non ci sono linee selezionate!
Er zijn geen resultaten gevonden!!!	There are no results!!!	Keine Sachen gefunden!	Pas de résultats!	No hay resultados !!!	Nebyly nalezeny žádné výsledky!!!	Nincs találat!!!	Nie znaleziono wyników!!!	Neboli nájdené žiadne výsledky!!!	Non è stato trovato nessun risultato!!!
Er zijn meerdere gebruikers gevonden op dit email adres. Selecteer de juiste A.U.B.	There are multiple users found with this email address. Please select the correct one.	Es wurden mehrere Benutzer mit dieser E-Mail-Adresse gefunden. Bitte wählen Sie die richtige.	Plusieurs utilisateurs avec cette adresse email ont été retrouvés. Veuillez sélectionner l'utilisateur correct.	Hay varios usuarios que se encuentran con esta dirección de correo electrónico. Por favor, seleccione el correcto.	Existuje více uživatelů nalezeno s touto e-mailovou adresu. Prosím, vyberte ten správný.	Vannak több felhasználó talált az e-mail címét. Kérjük, válassza ki a megfelelőt.	Istnieje wiele użytkowników znalezione z tym adresem e-mail. Proszę wybrać właściwy.	Existuje viac užívateľov nájdených s touto e-mailovú adresu. Prosím, vyberte ten správny.	Ci sono più utenti si trovano con questo indirizzo email. Si prega di selezionare quello corretto.
Exclusief:	Exclusive	Exklusiv:	Exclusive	Exclusivo	Výhradní	Nincs beleszámítva:	Bez:	Bez:	Esclusivo:
exemplaren bestellen!	pieces!	Anzahl bestellen!	commander des exemplaires	¡piezas!	objednat exemplá?e!	példányok rendelése!	egzemplarzy zamówi?!	exemplárov objedna?!	ordina esemplari!
Expeditienr.	Expeditionnr.	Sendungsnr.	N° expéditeur	Expeditionnr.	Expeditionnr.	Kiszállítási szám	Nr spedycji	Expeditionnr.	Nr. di spedizione
expl.	units	Ex.	exempl.	unidades	Jednotky	egységek	jednostki	Jednotky	unità
Extra info:	Add. info:	Zusatzinfo:	Info supp.:	Añadir. información:	Další info:	További infó:	Dodatkowe informacje:	Pridať. Info:	Ulteriori informazioni:
Facturen	Invoices	Rechnungen	Factures	Facturas	faktury	számlák	faktury	faktúry	Fatture
Factuur	Invoice	Rechnung	Facture	Factura	Faktura	Számla	Faktura	faktúra	Fattura
Factuuradres	Invoice address	Fakturadresse	Adresse de facturation	Dirección de facturación	Fakturační adresa	Számlázási cím	Adres do faktury	fakturačná adresa	Indirizzo di fatturazione
Factuuradres:	Invoice address:	Fakturadresse:	Adresse de facturation:	Dirección de facturación:	Fakturační adresa:	Számlázási cím:	Adres do faktury:	Fakturačná adresa:	Indirizzo di fatturazione:
Factuurdatum:	Invoicedate:	Rechnungsdatum:	Date de facture	Fecha de la factura:	invoiceDate:	Számla kiállítási dátuma:	invoiceDate:	Dátum vystavenia faktúry:	Data fattura:
Factuurnummer:	Invoicenumber	Rechnungsnummer	Numéro de facture	Número de la factura:	Číslo faktury	Számlaszám	Numer faktury	Číslo faktúry	Numero di fattura
Fax:	Fax:	Fax:	Fax:	Fax:	Fax:	Fax:	Faks:	Fax:	Fax:
Filiaal:	Branch:	Filiale:	Succursale:	Rama:	Větev:	Kirendeltség:	Gałąź:	odbor:	Filiale:
Firma	Company	Firma	Firme	Empresa	Firma	Vállalat	Firma	Firma	Ditta
Firma:	Company:	Firma:	Firme:	Empresa:	Firma:	Vállalat:	Firma:	Firma:	Ditta:
Firmanaam:	Companyname:	Betriebsname:	Société:	Nombre de empresa:	Název firmy:	Vállalat neve:	Nazwa firmy:	Názov firmy:	Nome della ditta:
Formaat	Size	Format	Format	tamaño	Formát	Formátum	Format	Formát	Formato
Formaat:	Size:	Format:	Format:	Tamaño:	Formát:	Formátum:	Format:	Formát:	Formato:
Fout	Error	Fehler	Erreur	Error	Chyba	Hiba	Błąd	Chyba	Errore
Fout:	Mistake:	Fehler	Erreur:	Error:	Chyba:	Hiba:	Błąd:	Chyba:	Errore:
Full Color	Full Color	Vierfarbig	Couleurs	A todo color	Plná barva	Teljes szín	Pełny kolor	full Color	Pieno di colori
Functie:	Function:	Funktion:	Fonction:	Función:	Funkce:	Beosztás:	Stanowisko:	Funkcia:	Funzione:
Gast	Guest	Gäste	Invité	Huésped	Host	Vendég	Gość	Hos?	Ospite
Gebruikersnaam:	User name:	Benutzername:	Nom d'utilisateur:	Nombre de usuario:	Jméno uživatele:	Felhasználói név:	Nazwa Użytkownika:	Užívateľské meno:	Nome utente:
Gecombineerd drukken	Print combined	Kombiniert drucken	Impression combinée	Imprimir combinado	Kombinovaný tisk	Kombinált nyomtatás	Drukuj połączeniu	Kombinovaná tla?	Stampa combinata
Geel	Yellow	Gelb	Jaune	Amarillo	Žlutá	Sárga	Żółty	Žltá	Giallo
geen afbeelding	no picture	keine Abbildung	Pas d'image	Sin imagen	bez obrázku	nincs kép	brak obrazka	žiadny obraz	nessuna immagine
Geen afloop in aangeleverd bestand!	No bleed on delivery document!	Kein Ablauf im gelieferten Dokument!	Pas de blanc dans ce document	No sangrar el documento de entrega!	Žádné krvácet na dodací list!	Nem vérzik Szállítási dokumentumot!	Nie krwawią na dokumencie dostawy!	Žiadne krvácať na dodací list!	Non sanguinare sul documento di consegna!
Geen problemen	No problems	Keine Probleme	Aucun problème	No hay problemas	Bez problém?	Nincs probléma	Bez problemów	Bez problémov	Nessun problema
Gefactureerd:	Invoiced:	Fakturiert:	Facturé:	Facturado:	Fakturovány:	Számlázva:	Zafakturowano:	Fakturované:	Fatturato:
Gegevens	Files	Daten	Données	archivos	Údaje	Adatok	Dane	Údaje	Dati
Geldig tot:	Valid tru:	Gültig bis:	Valable jusqu'à:	tru válida:	Platné do:	Érvényes:	Ważny tru:	Platí tru:	Valido fino a:
Geleverd	Delivered	Geliefert	Livré	Entregado	Dodáno	Kiszállítva	Dostarczono	Dodané	Fornito
Geleverd:	Delivered:	Geliefert:	Livré:	Entregado:	doručeno:	Megjelent:	Dostarczone:	doručené:	Consegna:
Gelieve contactpersoon in te voeren.	Please enter a contactperson.	Bitte eine Contactpersone eintragen.	Veuiller remplir un contact.	Por favor, introduzca una Persona de contacto.	Zadejte prosím kontaktní osobu.	Kérjük, adja meg a kapcsolattartó nevét.	Prosimy wpisa? osob? kontaktow?.	Zadajte, prosím, kontaktnú osobu.	Si prega di inserire un referente.
Gelieve een bericht in te voeren.	Please enter a message.	Bitte ein Bericht eintragen.	Veuiiler remplir un message.	Por favor, introduzca un mensaje.	Zadejte prosím zprávu.	Kérjük, írjon üzenetet.	Prosimy wpisa? wiadomo??.	Zadajte, prosím, správu.	Si prega di inserire un messaggio.
Gelieve een omschrijving in te voeren.	Please enter a description.	Bitte eine Umschreibung eintragen.	Veuiller remplir une description.	Por favor, introduzca una descripción.	Zadejte prosím popis.	Kérjük, adjon leírást.	Prosimy wpisa? opis.	Zadajte, prosím, popis.	Si prega di inserire una descrizione.
Gelieve firma in te voeren.	Please enter a companyname.	Bitte eine Betriebsname eintragen.	Veuiller remplir la société.	Por favor, introduzca una nombredeempresa.	Zadejte prosím firmu.	Kérjük, adja meg a vállalat nevét.	Prosimy wpisa? firm?.	Zadajte, prosím, firmu.	Si prega di inserire una ditta.
Gelieve telefoon, fax of e-mail in te voeren.	Please enter a phone, fax or e-mail address.	Bitte eine Telefoon, Fax oder E-mail eintragen.	Veuiller remplir tel, fax ou email.	Por favor, introduzca una dirección de teléfono, fax o correo electrónico.	Zadejte prosím telefon, fax nebo e-mail.	Kérjük, adjon meg telefon-, faxszámot vagy e-mailt.	Prosimy wpisa? telefon, faks lub e-mail.	Zadajte, prosím, telefón, fax alebo e-mail.	Si prega di inserire un numero di telefono, di fax o un indirizzo e-mail.
Geres.	Reserv.	Reser.	Reservé	Reserv.	Geres.	Lefoglalva	Zarez.	Rez.	Prenot.
Gewicht	Weight	Gewicht	Poids	Peso	Hmotnost	Tömeg	Waga	Hmotnost	Peso
Gewicht:	Weight:	Gewicht:	Poids:	Peso:	Hmotnost:	Tömeg:	Waga:	Hmotnost:	Peso:
Grams	Grams	Gramm/m2	Grammage	gramos	Gramy	Gramm	Gram	gramov	Grammi
Grams:	Grams:	Gramm/m2:	Grammage:	Grams:	Gramy:	Gramm:	Gram:	gramov:	Grammi:
Gramsgewicht:	Gram weight:	Quadratmetergewicht:	Grammage:	peso en gramos:	Hmotnost v gramech:	Grammsúly:	Gramatura:	Gram hmotnosť:	Grammatura:
Grijstint	Graytone	Graustuf	Tint de gris	graytone	Odstín šedé	Szürke tónus	Graytone	Graytone	Tono grigio
Groep	Group	Gruppe	Groupe	Grupo	Skupina	Csoport	Grupa	Skupina	Gruppo
Groep:	Group:	Gruppe:	Groupe:	Grupo:	Skupina:	Csoport:	Grupa:	Skupina:	Gruppo:
Grootte:	Size:	Größe:	Grandeur:	Tamaño:	Velikost:	Méret:	Rozmiar:	veľkosť:	Dimensione:
Handmatig	Manually	Manuell	Façon manuel	A mano	ručně	Manuálisan	Ręcznie	ručne	manualmente
Hartelijk dank	Thanks	Vielen Dank	Merci beaucoup	Gracias	Díky	Köszönjük!	Dzięki	Vďaka	I più vivi ringraziamenti
Het is niet toegestaan het wachtwoord op te vragen.	It is not allowed to request the password.	Es ist nicht erlaubt, um das Passwort anzufordern.	Il n'est pas autorisé à demander le mot de passe.	No se le permite solicitar la contraseña.	Není povoleno požadovat heslo.	Nem megengedett, hogy kérje a jelszót.	Niedopuszczalne jest, aby zwrócić się o hasło.	Nie je povolené vyžadovať heslo.	Non è consentito richiedere la password.
Hierbij machtigen wij	We give a authorization to	Wir bestätigen Ihnen	Donne l'autorisation	Damos una autorización para	Povolujeme tímto	Ezennel meghatalmazzuk	Dajemy zezwolenia	Dávame povolenie na	Con la presente deleghiamo
Hoofdmenu	Mainmenu	Hauptmenü	Menu principal	Menú principal	Hlavní menu	Főmenü	Menu główne	Hlavné menu	Menu principale
Impositie	Imposition	Imposition	Imposition	Imposición	Uvalení	kivetése	Nakładanie	uvalenie	Imposizione
In winkelwagen	To shopping cart	Zum Warenkorb	Votre caddie	para shoppingcard	V nákupním košíku	Bevásárlókocsiba	Do koszyka	V košíku	Nel carrello
Inclusief:	Inclusive:	Inklusiv:	Inclusive	Inclusivo:	včetně:	Beleszámítva:	Wraz z:	Vrátane:	Inclusivo:
Index	Index	Index	Retour menu principal	Índice	Index	Tárgymutató	Indeks	Index	Indice
Informatie	Information	Informationen	Information	Información	Informace	Tájékoztató	Informacje	Informácie	Informazioni
Informatie:	Information:	Information:	Information:	Información:	Informace:	Tájékoztató:	Informacje:	Informácie:	Informazioni:
